ID,国家名称,所属洲,现存确诊,可疑人数,累计确诊,死亡人数,治愈人数,确认计数等级,病死率排序,死亡率,历史记录
4804446,布基纳法索,非洲,270,0,1150,54,826,144,35,4.69,https://file1.dxycdn.com/2020/0315/667/3402160525692777928-135.json
4804489,蒙古,亚洲,269,0,293,0,24,171,184,0.00,https://file1.dxycdn.com/2020/0315/947/3402160536430373542-135.json
4804321,约旦,亚洲,254,0,1310,22,1034,135,123,1.67,https://file1.dxycdn.com/2020/0315/225/3402160532135229235-135.json
4804292,格鲁吉亚,亚洲,254,0,1182,17,911,142,132,1.43,https://file1.dxycdn.com/2020/0315/126/3402160506365424445-135.json
4804662,马提尼克,北美洲,254,0,269,15,0,173,27,5.57,https://file1.dxycdn.com/2020/0315/454/3402160527840438534-135.json
4804693,瓜德罗普岛,北美洲,249,0,265,16,0,174,22,6.03,https://file1.dxycdn.com/2020/0317/354/3402535547204842407-135.json
4804775,厄立特里亚,非洲,243,0,282,0,39,172,184,0.00,https://file1.dxycdn.com/2020/0322/928/3403423203128282836-135.json
4804666,根西岛,欧洲,239,0,252,13,0,175,32,5.15,https://file1.dxycdn.com/2020/0317/462/3402535605186702216-135.json
4804664,法罗群岛,欧洲,225,0,225,0,0,177,184,0.00,https://file1.dxycdn.com/2020/0315/071/3402160536430196701-135.json
4804692,开曼群岛,北美洲,201,0,203,2,0,178,151,0.98,https://file1.dxycdn.com/2020/0317/570/3402535585859348238-135.json
4804665,直布罗陀,欧洲,187,0,188,1,0,179,169,0.53,https://file1.dxycdn.com/2020/0315/482/3402160529987745496-135.json
4804657,特立尼达和多巴哥,北美洲,174,0,182,8,0,180,43,4.39,https://file1.dxycdn.com/2020/0315/658/3402176490086085375-135.json
4804245,冰岛,欧洲,165,0,1930,10,1755,129,171,0.51,https://file1.dxycdn.com/2020/0315/786/3402160514955359317-135.json
4804768,百慕大,北美洲,148,0,157,9,0,181,25,5.73,https://file1.dxycdn.com/2020/0321/509/3403237656246202307-135.json
